Estado;var;id;=;+;-;*;/;number;if;while;(;);{;};==;!=;>;<;";";$;P;B;S;D;I;W;C;E;T;F
0;s7;;;;;;;;s8;s9;;;;;;;;;;;1;2;3;4;5;6;;;;
1;;;;;;;;;;;;;;;;;;;;accept;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;r1;;;;;;;;;;
3;s7;;;;;;;;s8;s9;;;;;;;;;s10;;;10;3;4;5;6;;;;
4;r4;;;;;;;;r4;r4;;;;r4;;;;;r4;r4;;;;;;;;;;
5;r5;;;;;;;;r5;r5;;;;r5;;;;;r5;r5;;;;;;;;;;
6;r6;;;;;;;;r6;r6;;;;r6;;;;;r6;r6;;;;;;;;;;
7;;s11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;s12;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;s13;;;;;;;;;;;;;;;;;;;
10;s6;;;;;;;;s8;s9;;;;r2;;;;;;r2;;14;3;4;5;6;;;;
11;;;s15;;;;;;;;;;;;;;;;;;;;;;;;;19;;
12;;s17;;;;;;;;;;;;;;;;;;;;;;;;;16;;;
13;;s17;;;;;;;;;;;;;;;;;;;;;;;;;18;;;
14;;;;;;;;;;;;;;r3;;;;;;r3;;;;;;;;;;
15;;s23;;;;;;s22;;;s24;;;;;;;;;;;;;;;;;;20;21
16;;;;;;;;;;;;s25;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;s26;s27;s28;s29;;;;;;;;;;;;
18;;;;;;;;;;;;s30;;;;;;;;;;;;;;;;;;
19;r7;;;;;;;;r7;r7;;;;r7;;;;;r7;r7;;;;;;;;;;
20;r16;;;s31;s32;s33;s34;;r16;r16;;r16;;r16;;;;;r16;r16;;;;;;;;;;
21;r19;;;r19;r19;;;;r19;r19;;r19;;r19;;;;;r19;r19;;;;;;;;;;
22;r20;;;r20;r20;r20;r20;;r20;r20;;r20;;r20;;;;;r20;r20;;;;;;;;;;
23;r21;;;r21;r21;r21;r21;;r21;r21;;r21;;r21;;;;;r21;r21;;;;;;;;;;
24;;s23;;;;;;s22;;;s24;;;;;;;;;;;;;;;;;35;20;21
25;;;;;;;;;;;;;s36;;;;;;;;;;;;;;;;;
26;;s37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;s38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;s39;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;s40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;s41;;;;;;;;;;;;;;;;;
31;;s23;;;;;;s22;;;s24;;;;;;;;;;;;;;;;;42;20;21
32;;s23;;;;;;s22;;;s24;;;;;;;;;;;;;;;;;43;20;21
33;;s23;;;;;;s22;;;s24;;;;;;;;;;;;;;;;;;44;21
34;;s23;;;;;;s22;;;s24;;;;;;;;;;;;;;;;;;45;21
35;;;;;;;;;;;;s46;;;;;;;;;;;;;;;;;;
36;s7;;;;;;;;s8;s9;;;;;;;;;;;;47;3;4;5;6;;;;
37;;;;;;;;;;;;r10;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;r11;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;r12;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;r13;;;;;;;;;;;;;;;;;;
41;s7;;;;;;;;s8;s9;;;;;;;;;;;;48;3;4;5;6;;;;
42;r14;;;;;;;;r14;r14;;r14;;r14;;;;;r14;r14;;;;;;;;;;
43;r15;;;;;;;;r15;r15;;r15;;r15;;;;;r15;r15;;;;;;;;;;
44;r17;;;r17;r17;;;;r17;r17;;;;r17;;;;;r17;r17;;;;;;;;;;
45;r18;;;r18;r18;;;;r18;r18;;;;r18;;;;;r18;r18;;;;;;;;;;
46;r22;;;r22;r22;r22;r22;;r22;r22;;r22;;r22;;;;;r22;r22;;;;;;;;;;
47;;;;;;;;;;;;;;s49;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;s50;;;;;;;;;;;;;;;;
49;r8;;;;;;;;r8;r8;;;;r8;;;;;r8;r8;;;;;;;;;;
;r9;;;;;;;;r9;r9;;;;r9;;;;;r9;r9;;;;;;;;;;
